[Epoch 0] Train-acc: 0.720 | loss: 4.981 | Val-acc: 0.732 | time: 39.0 
[Epoch 1] Train-acc: 0.760 | loss: 4.914 | Val-acc: 0.805 | time: 15.9 
[Epoch 2] Train-acc: 0.844 | loss: 3.293 | Val-acc: 0.805 | time: 13.4 
[Epoch 3] Train-acc: 0.880 | loss: 2.715 | Val-acc: 0.780 | time: 18.4 
[Epoch 4] Train-acc: 0.869 | loss: 3.172 | Val-acc: 0.780 | time: 13.3 
[Epoch 5] Train-acc: 0.869 | loss: 2.584 | Val-acc: 0.780 | time: 13.4 
[Epoch 6] Train-acc: 0.891 | loss: 2.396 | Val-acc: 0.805 | time: 37.8 
[Epoch 7] Train-acc: 0.902 | loss: 1.994 | Val-acc: 0.805 | time: 39.0 
[Epoch 8] Train-acc: 0.909 | loss: 2.185 | Val-acc: 0.805 | time: 38.1 
[Epoch 9] Train-acc: 0.876 | loss: 2.634 | Val-acc: 0.829 | time: 37.2 
[Epoch 10] Train-acc: 0.884 | loss: 2.076 | Val-acc: 0.854 | time: 38.6 
[Epoch 11] Train-acc: 0.905 | loss: 2.206 | Val-acc: 0.756 | time: 27.2 
[Epoch 12] Train-acc: 0.873 | loss: 3.070 | Val-acc: 0.829 | time: 15.9 
[Epoch 13] Train-acc: 0.876 | loss: 2.614 | Val-acc: 0.756 | time: 11.4 
[Epoch 14] Train-acc: 0.822 | loss: 3.215 | Val-acc: 0.829 | time: 13.7 
[Epoch 15] Train-acc: 0.862 | loss: 3.089 | Val-acc: 0.780 | time: 15.7 
[Epoch 16] Train-acc: 0.884 | loss: 2.332 | Val-acc: 0.878 | time: 23.6 
[Epoch 17] Train-acc: 0.920 | loss: 1.984 | Val-acc: 0.829 | time: 38.8 
[Epoch 18] Train-acc: 0.931 | loss: 1.966 | Val-acc: 0.683 | time: 39.1 
[Epoch 19] Train-acc: 0.887 | loss: 2.285 | Val-acc: 0.634 | time: 39.7 
[Epoch 20] Train-acc: 0.898 | loss: 2.317 | Val-acc: 0.732 | time: 37.9 
[Epoch 21] Train-acc: 0.971 | loss: 0.793 | Val-acc: 0.756 | time: 38.7 
[Epoch 22] Train-acc: 0.931 | loss: 1.706 | Val-acc: 0.854 | time: 16.9 
[Epoch 23] Train-acc: 0.949 | loss: 1.354 | Val-acc: 0.732 | time: 14.2 
[Epoch 24] Train-acc: 0.949 | loss: 1.634 | Val-acc: 0.780 | time: 15.4 
[Epoch 25] Train-acc: 0.905 | loss: 1.694 | Val-acc: 0.780 | time: 13.4 
[Epoch 26] Train-acc: 0.945 | loss: 1.450 | Val-acc: 0.854 | time: 13.6 0.8070953436807095
[Epoch 27] Train-acc: 0.913 | loss: 1.771 | Val-acc: 0.732 | time: 13.8 
[Epoch 28] Train-acc: 0.916 | loss: 1.311 | Val-acc: 0.756 | time: 40.2 
[Epoch 29] Train-acc: 0.927 | loss: 1.652 | Val-acc: 0.756 | time: 39.8 
[Epoch 30] Train-acc: 0.927 | loss: 1.311 | Val-acc: 0.780 | time: 37.0 
[Epoch 31] Train-acc: 0.960 | loss: 0.806 | Val-acc: 0.780 | time: 37.2 
[Epoch 32] Train-acc: 0.942 | loss: 1.085 | Val-acc: 0.707 | time: 38.3 
[Epoch 33] Train-acc: 0.953 | loss: 1.224 | Val-acc: 0.732 | time: 22.3 
[Epoch 34] Train-acc: 0.949 | loss: 1.399 | Val-acc: 0.756 | time: 10.5 
[Epoch 35] Train-acc: 0.942 | loss: 2.192 | Val-acc: 0.659 | time: 10.2 
[Epoch 36] Train-acc: 0.938 | loss: 1.478 | Val-acc: 0.732 | time: 10.8 
[Epoch 37] Train-acc: 0.953 | loss: 0.941 | Val-acc: 0.829 | time: 11.3 
[Epoch 38] Train-acc: 0.956 | loss: 1.141 | Val-acc: 0.756 | time: 11.1 
[Epoch 39] Train-acc: 0.960 | loss: 0.919 | Val-acc: 0.756 | time: 10.4 
[Epoch 40] Train-acc: 0.924 | loss: 2.178 | Val-acc: 0.756 | time: 10.2 
[Epoch 41] Train-acc: 0.964 | loss: 1.131 | Val-acc: 0.854 | time: 10.8 0.8226164079822617
[Epoch 42] Train-acc: 0.956 | loss: 1.036 | Val-acc: 0.805 | time: 10.8 
[Epoch 43] Train-acc: 0.956 | loss: 1.127 | Val-acc: 0.756 | time: 9.1 
[Epoch 44] Train-acc: 0.949 | loss: 1.011 | Val-acc: 0.683 | time: 10.6 
[Epoch 45] Train-acc: 0.985 | loss: 0.718 | Val-acc: 0.756 | time: 10.3 
[Epoch 46] Train-acc: 0.956 | loss: 0.782 | Val-acc: 0.707 | time: 10.0 
[Epoch 47] Train-acc: 0.971 | loss: 0.612 | Val-acc: 0.805 | time: 9.9 
[Epoch 48] Train-acc: 0.960 | loss: 1.307 | Val-acc: 0.707 | time: 10.8 
[Epoch 49] Train-acc: 0.971 | loss: 0.600 | Val-acc: 0.732 | time: 10.7 
[Epoch 50] Train-acc: 0.935 | loss: 1.121 | Val-acc: 0.829 | time: 10.8 
[Epoch 51] Train-acc: 0.975 | loss: 1.428 | Val-acc: 0.854 | time: 11.0 0.8319290465631929
[Epoch 52] Train-acc: 0.960 | loss: 1.185 | Val-acc: 0.805 | time: 11.3 
[Epoch 53] Train-acc: 0.964 | loss: 0.915 | Val-acc: 0.805 | time: 10.3 
[Epoch 54] Train-acc: 0.971 | loss: 0.787 | Val-acc: 0.805 | time: 10.8 
[Epoch 55] Train-acc: 0.956 | loss: 1.552 | Val-acc: 0.805 | time: 9.2 
[Epoch 56] Train-acc: 0.960 | loss: 0.817 | Val-acc: 0.854 | time: 11.2 0.8195121951219512
[Epoch 57] Train-acc: 0.971 | loss: 1.066 | Val-acc: 0.805 | time: 10.9 
[Epoch 58] Train-acc: 0.956 | loss: 1.007 | Val-acc: 0.805 | time: 9.6 
[Epoch 59] Train-acc: 0.971 | loss: 0.716 | Val-acc: 0.659 | time: 11.3 
[Epoch 60] Train-acc: 0.956 | loss: 0.990 | Val-acc: 0.610 | time: 10.7 
[Epoch 61] Train-acc: 0.949 | loss: 1.001 | Val-acc: 0.634 | time: 8.6 
[Epoch 62] Train-acc: 0.978 | loss: 0.548 | Val-acc: 0.805 | time: 10.4 
[Epoch 63] Train-acc: 0.967 | loss: 0.821 | Val-acc: 0.805 | time: 10.4 
[Epoch 64] Train-acc: 0.978 | loss: 0.703 | Val-acc: 0.829 | time: 11.3 0.8111751662971175
[Epoch 65] Train-acc: 0.956 | loss: 1.717 | Val-acc: 0.878 | time: 10.2 0.8397339246119735
[Epoch 66] Train-acc: 0.953 | loss: 1.714 | Val-acc: 0.756 | time: 9.9 
[Epoch 67] Train-acc: 0.956 | loss: 0.787 | Val-acc: 0.902 | time: 10.8 0.8630598669623061
[Epoch 68] Train-acc: 0.964 | loss: 0.660 | Val-acc: 0.805 | time: 10.7 
[Epoch 69] Train-acc: 0.964 | loss: 0.633 | Val-acc: 0.756 | time: 10.6 
[Epoch 70] Train-acc: 0.953 | loss: 0.858 | Val-acc: 0.707 | time: 11.4 
[Epoch 71] Train-acc: 0.945 | loss: 1.381 | Val-acc: 0.732 | time: 10.3 
[Epoch 72] Train-acc: 0.949 | loss: 1.271 | Val-acc: 0.732 | time: 9.7 
[Epoch 73] Train-acc: 0.982 | loss: 0.859 | Val-acc: 0.829 | time: 10.7 0.814190687361419
[Epoch 74] Train-acc: 0.967 | loss: 0.784 | Val-acc: 0.829 | time: 11.3 0.8021286031042129
[Epoch 75] Train-acc: 0.982 | loss: 0.493 | Val-acc: 0.732 | time: 10.7 
[Epoch 76] Train-acc: 0.978 | loss: 0.976 | Val-acc: 0.780 | time: 11.1 
[Epoch 77] Train-acc: 0.956 | loss: 0.993 | Val-acc: 0.756 | time: 10.7 
[Epoch 78] Train-acc: 0.967 | loss: 0.610 | Val-acc: 0.756 | time: 10.4 
[Epoch 79] Train-acc: 0.978 | loss: 0.538 | Val-acc: 0.732 | time: 9.0 
[Epoch 80] Train-acc: 0.982 | loss: 0.742 | Val-acc: 0.756 | time: 12.0 
[Epoch 81] Train-acc: 0.967 | loss: 0.612 | Val-acc: 0.707 | time: 12.0 
[Epoch 82] Train-acc: 0.971 | loss: 0.950 | Val-acc: 0.732 | time: 10.6 
